Lidar data points
X403.57752494613476 Y-621.4548908475593 P1
X422.74983502388477 Y-626.7524048516115 P0.9866666666666669
X440.50670311760337 Y-629.1087700139457 P0.9966666666666664
X461.41142304959124 Y-635.0783405843339 P0.9866666666666665
X419.46507113697743 Y-556.6489505029632 P0.65
X68.95408523647376 Y-88.25720440395284 P0.7233333333333334
X125.8640782099675 Y-155.42919229139414 P0.71
X1460.4134492078172 Y-1740.4529747663182 P0.37666666666666704
X1598.8158536498656 Y-1839.2272470028956 P0
X1915.0517953990511 Y-2126.8804905163033 P0
X559.9206536113113 Y-600.4413890293389 P0
X1209.400222969114 Y-1252.3705923895916 P0.47666666666666613
X2536.3920241161454 Y-2536.3920241161463 P0.9199999999999988
X2666.592639855379 Y-2575.098579291504 P0.8666666666666667
X1726.726089522862 Y-1610.1981281075584 P0.27333333333333387
X708.9601635054341 Y-638.3505984663507 P0.5966666666666665
X731.313583235866 Y-635.7211990918016 P0.2200000000000003
X2756.227906342082 Y-2312.749819652169 P0.9899999999999997
X3307.5332119608665 Y-2678.38758430811 P0.6600000000000004
X3564.1726385632037 Y-2784.636852897952 P0.6866666666666655
X3660.94517805679 Y-2758.7200661289894 P0.5833333333333333
X3959.3291704709923 Y-2876.6210247193644 P0.6333333333333333
X3236.4697269858057 Y-2266.2005000229847 P0
X3756.3692412468945 Y-2533.7030456259527 P0
X439.4633776034022 Y-285.39085434787415 P0
X3760.2452583575923 Y-2349.662017610031 P0.5666666666666667
X4393.839583399027 Y-2640.0851719889392 P0.9733333333333329
X4460.896854893642 Y-2575.5000000000023 P0.9833333333333333
X4564.640251560507 Y-2530.221408065632 P0.8
X4585.146849716408 Y-2437.965825547131 P0.9866666666666636
X4663.528147601917 Y-2376.1862756367887 P0.9866666666666675
X4713.275978792831 Y-2298.818293761924 P0.9933333333333318
X2817.710909896945 Y-1313.9201757518338 P0.9933333333333337
X3538.1615574497937 Y-1575.291018632574 P0.41000000000000036
X4253.652927803726 Y-1805.5685447489345 P0
X4838.045353129496 Y-1954.6972044442307 P0
X4928.371071478727 Y-1891.8244056496428 P0
X4914.5924067103015 Y-1788.7653495932468 P0
X4939.389038930831 Y-1700.7680388841866 P0.9933333333333356
X4944.542828218503 Y-1606.5793537553527 P0.9400000000000015
X4951.746026376597 Y-1513.900687054333 P0.9900000000000015
X4948.575210690466 Y-1418.9811077459105 P0
X2481.4634477366167 Y-664.9061268683756 P0.9833333333333333
X0 Y0 P1
X525.1854649192418 Y-121.24861829134342 P0
X596.6700364476214 Y-126.82613139883352 P0.2866666666666665
X1105.3122085620696 Y-214.85092879398928 P0.2566666666666667
X1665.3099103436437 Y-293.6390684347793 P0.4566666666666672
X5013.506016860919 Y-794.0613445442132 P0.9966666666666678
X5027.590985000952 Y-706.5818335742545 P0.9933333333333337
X5046.104634944481 Y-619.5837418717686 P0.9966666666666678
X5047.198618993987 Y-530.4819510833411 P0.9466666666666659
X5081.589154965994 Y-444.5814437558051 P0.9966666666666659
X5085.581528224584 Y-355.6185031475525 P0.9466666666666678
X4618.661598239904 Y-242.0537976236177 P0.873333333333333
X3919.6108235688935 Y-136.87582606720824 P0.9699999999999989
X3399.4821635317303 Y-59.338181886764104 P0.9700000000000008
